,time,Bitcoin,Ethereum,Binance,Ripple,Terra,Solana,Cardano,Avalanche,Polkadot,Dogecoin,Shiba Inu,Polygon,Cronos,Cosmos,Litecoin,NEAR,Chainlink,Uniswap,TRON,Bitcoin Cash,Algorand,Decentraland,Fantom,Ethereum Classic,The Sandbox,Filecoin
0,2020-12-31 00:00:00+00:00,28844.6136781999,751.208063705435,38.0559673400655,0.211462585605599,0.667735880880525,1.53426590421128,0.183567595548078,2.92473814205822,7.21588820002165,0.0046710283647601,,0.0181005663230243,0.059174192169893,5.42572560239968,128.674721884027,1.20823344726995,11.2800464514141,4.13720622568767,0.0268935737272095,357.380456310868,0.334750804915151,0.0777346445112296,0.0163957605631115,5.66485184311054,0.0362381405815434,21.464048597942
1,2021-01-01 00:00:00+00:00,29022.6714126242,739.025849853887,37.3391379089479,0.221018257652563,0.650705815233261,1.50929176590123,0.181690694927974,3.03126597806874,9.29455971912234,0.0047346289084755,,0.0175199174360686,0.0586442535509471,6.42078684460622,124.822577039248,1.4023914690191,11.2409561710827,5.15100108781704,0.0268544780385869,343.468572246843,0.329903869471228,0.0778690951858471,0.016786724811925,5.6697846530796,0.0356323939998164,24.4663934523006
2,2021-01-02 00:00:00+00:00,29380.6937327878,730.91432063121,37.7985101954314,0.23677925583855,0.649464270301105,1.84189281644419,0.175673967082855,3.71362072760347,8.3011384673381,0.0055648682306708,,0.017807756551704,0.0596467427330369,5.88302386267009,126.167019193361,1.3463663268925,11.8683914967615,4.74714672642158,0.0269344250841107,341.435139002539,0.399610928782505,0.0835665031448257,0.0171501271599517,5.70863366354211,0.0370226104555209,22.4541212657575
3,2021-01-03 00:00:00+00:00,32022.6810578609,775.296622443016,38.2403003958248,0.220862176053745,0.628094251235803,1.80475473484079,0.177836469166212,3.49717515702636,9.22649042599011,0.0105300836143273,,0.0190042914140451,0.0621371635381168,5.41034821123845,137.286798942509,1.40943743827936,12.1386530622964,4.84911372997269,0.0272252683600317,353.841677257773,0.404554742428359,0.0793368255817796,0.0164704122122537,5.77511303061148,0.0382692000302913,21.771700241323
4,2021-01-04 00:00:00+00:00,33277.8353050848,990.365324956166,41.3005423440533,0.226994224492359,0.663351655663426,2.14641247808214,0.206878956034121,3.50678226425639,10.2855677084469,0.0100145613082379,,0.0201528071191613,0.0603631627905837,5.85652033404598,160.973967127804,1.4786470539499,13.8040140496833,5.50274860698052,0.0298164641397662,424.067349070004,0.420038005967589,0.0811107408036575,0.0190725061613851,6.60895080125018,0.0411223799393749,21.5256669928905
5,2021-01-05 00:00:00+00:00,31802.1467136178,1030.31844886032,40.4687855464061,0.235905703059885,0.662550200133488,2.45485855851989,0.220537779824022,3.58864521792802,9.42777414305798,0.0097106438865619,,0.0241806574695759,0.0650379840199489,5.96660676097714,154.307963318761,1.38224693949503,13.5160112749304,5.3305315694862,0.0309260551379522,402.638765295138,0.414254728552741,0.0788269135145006,0.0203503265099185,6.96162719170983,0.0402636180565521,21.198527197264
6,2021-01-06 00:00:00+00:00,34013.1741724138,1101.55981414378,41.6450368907275,0.226000843340947,0.716152670046069,2.15689642214973,0.25876010082125,4.28059844348642,9.77994349450552,0.0098562206372752,,0.024367945349268,0.0664715969991074,6.20892978197453,159.085910447875,1.50265134688,14.5892337279751,6.35267473503193,0.0286440445480246,419.018296416785,0.483889228752937,0.0821472705814768,0.0205002430154476,7.17782412865602,0.041776268685529,21.611689319622
7,2021-01-07 00:00:00+00:00,36643.2777223846,1199.35239976622,42.0638311605561,0.250861982383003,0.711997368406993,1.94525657928273,0.331324260498183,4.64037482236062,10.1344840174637,0.0104082549321962,,0.0351221356960165,0.0769343977059279,6.72270210650316,168.402759613178,1.54580303119396,17.0947289648172,6.35975472822761,0.0307405557590479,453.555229331706,0.511673176885816,0.0920193342795114,0.0240276607929806,7.61940798140863,0.0450214815493518,21.9369276844633
8,2021-01-08 00:00:00+00:00,39215.6511490356,1220.21421332554,43.2037093319688,0.31942850962708,0.855104859734021,2.36495274127015,0.29786788060804,4.45366784591746,9.59459978736377,0.0096390907224537,,0.0328102818047402,0.0779033741513046,6.22339500258745,168.94635805727,1.50220914355268,15.8894371868902,6.25199020089441,0.0308145566694455,447.299328092646,0.458410499346864,0.116424453322616,0.0237022413195021,7.19417952639339,0.0430747141711961,22.0062931676951
9,2021-01-09 00:00:00+00:00,40775.4045634132,1219.88072121566,42.4130728648417,0.319088306868992,0.847891221697709,3.19945804325766,0.303979027663877,5.52474163939523,9.33609354191825,0.0099919005447364,,0.031676941468797,0.0815737291563247,5.92724645330714,173.11836098248,1.70107424296442,15.2918662749,5.89758196061793,0.0304599005672506,437.679781682109,0.454917193742214,0.123550104715559,0.0263672928953819,6.94614372877231,0.0434881247863549,21.6523586125919
10,2021-01-10 00:00:00+00:00,40370.6823495032,1286.97022314436,44.0641152860323,0.328038338810369,0.816325964710569,3.40556425148441,0.334128045436111,7.33945727269083,9.75346321114097,0.0103077173907635,,0.0335169069887671,0.0833311707150464,6.61584912307178,177.386824372625,1.77529447713341,17.7524981232955,6.29190518085819,0.0341779437101664,569.738085924812,0.488715961615348,0.115643677399877,0.027461505471589,7.85756540599167,0.0458070394896185,22.2241672484736
